Episode number, Episode reward
51,8.840141894970818
52,17.639095936170502
53,5.224172245419311
54,3.8295244952137275
55,12.90051081345026
56,99.60174579838605
57,63.347806576067406
58,58.43808616087792
59,70.91964516484924
60,14.596216902132522
61,35.59117408382596
62,27.687671131877554
63,51.83378206497418
64,31.795973055576223
65,59.40600439259258
66,20.13920537040546
67,33.84281316208355
68,113.55161303298279
69,56.99352519306838
70,23.274442019333122
71,71.07165117189139
72,66.70677033446694
73,81.94869711464153
74,51.11420654733266
75,101.96421917030875
76,173.10892715127034
77,145.20240523541963
78,117.29624733011723
79,86.41081344955326
80,140.20769001448934
81,144.2828789752913
82,60.9754471700791
83,153.23675654925125
84,31.74807193478609
85,52.41998492730664
86,108.93532463518783
87,118.29441258537732
88,180.32022364818448
89,150.57976274721997
90,50.0908667640478
91,189.05756465256607
92,101.12891606902592
93,194.85011654513625
94,170.9124383207637
95,155.47065970280502
96,85.04093953594895
97,123.81345772608938
98,61.55812713216398
99,108.33870979613963
100,64.0513176030088
101,146.77893342086648
102,135.87994881122899
103,55.026208135354814
104,199.07962866762225
105,104.11328756271115
106,192.17143173890207
107,188.62372128020627
108,132.39031106317563
109,195.37537194701008
110,128.82656627391114
111,154.50186211540588
112,166.19712841037406
113,119.56110345911205
114,170.84713666993136
115,72.62318847932981
116,167.23660217100877
117,498.5459974995514
118,76.02055215027902
119,30.880320940640466
120,53.17166161991054
121,165.44893042862032
122,62.62998459973177
123,142.20837052249087
124,54.22530723725963
125,26.123117891778694
126,86.32382190791557
127,176.2802386783567
128,172.61018883436154
129,230.89202854854688
130,192.82677834644218
131,194.8877533302313
132,75.33578552998665
133,52.8333165466885
134,158.61453618774397
135,73.33392163464238
136,70.22951468404798
137,66.2960865082417
138,173.6154035237667
139,146.57563734138228
140,109.2280765120696
141,182.53732357831288
142,109.45506096192418
143,123.86711407960007
144,60.60526388200026
145,73.74552324832581
146,187.91723489187376
147,74.43859390057402
148,128.5612945243076
149,54.75949402150028
150,64.88730162680547
151,178.8310113136203
152,188.24945495344411
153,110.31456735743146
154,62.771145768139135
155,103.6351163738283
156,363.6989197327038
157,135.16916156680685
158,105.32893100393184
159,90.58895799416973
160,104.5377044306711
161,190.01878367363193
162,164.1513326226864
163,133.62168851836358
164,184.21756245678407
165,198.53449918274134
166,371.61909394510064
167,208.87909626148507
168,80.43353023926971
169,174.6596405401535
170,126.87233713727056
171,72.38040975258103
172,308.80339011607106
173,174.0028212435732
174,119.510211658845
175,182.34593222677282
176,182.08666639496465
177,106.08839452053503
178,188.33257474388975
179,72.40634272798839
180,186.94779256510708
181,124.48194473724054
182,130.3512365110842
183,157.1416208196819
184,180.92229508662066
185,168.59879482435198
186,159.4460218806266
187,173.89158044645671
188,106.46412499186155
189,125.1142653858291
190,178.1943364254818
191,35.937845907201584
192,160.81464805433708
193,121.73510328533938
194,122.44983899404838
195,128.62418698428235
196,417.49803756179193
197,99.32894050160935
198,188.5387078485381
199,80.45388746416506
200,189.07749524024928
201,95.7793290351539
202,564.150493569547
203,145.27741584451874
204,190.56999435300375
205,275.59513967696745
206,159.22569589439698
207,549.1553407703365
208,74.60978795450953
209,245.44752870717468
210,132.80116127142995
211,199.62988325386988
212,892.7673850648887
213,1327.6755199762129
214,182.5784085613991
215,505.0364642667812
216,94.39804690671014
217,62.41019022032042
218,187.95445088140391
219,190.98718189030834
220,78.38724305705118
221,143.97810628905145
222,139.56643472226907
223,162.48194460280047
224,230.91703103732107
225,165.96186133327836
226,232.36578718688313
227,230.55095261870073
228,141.60312869909458
229,167.8260568080412
230,267.0598347105264
231,152.8420543917532
232,134.92003454202734
233,265.66670503532043
234,515.4354126099103
235,156.01347084045065
